Iteration,Contig Collection (ms),Overlap Detection (ms),Multiplicity Assignment (ms),File Writing (ms),Total Time (ms)
1,1497,153873,32,107558,262962
2,1591,153982,31,105133,260739
3,1567,154434,32,105074,261108
4,1576,153996,32,109461,265067
5,1589,154091,31,109579,265291
6,1567,153942,31,108220,263761
7,1593,153881,31,109112,264618
8,1585,153899,31,105093,260610
9,1608,154049,32,109908,265598
10,1612,154223,31,109540,265407
11,1574,154849,32,105603,262059
12,1586,154889,32,107949,264457
13,1594,153904,32,104668,260199
14,1568,154177,31,109770,265547
15,1606,154204,31,108659,264502
16,1587,154238,32,105195,261052
17,1607,154092,32,107727,263459
18,1617,154108,33,108082,263842
19,1672,154165,31,108570,264440
20,1595,153949,31,107581,263157
21,1596,153598,31,109256,264482
22,1559,154101,31,108441,264134
23,1599,154102,31,104341,260074
24,1556,154244,31,104497,260330
25,1571,154140,31,107652,263396
26,1602,153763,31,109302,264699
27,1582,154084,31,108997,264696
28,1607,154198,32,104951,260790
29,1593,154288,32,109434,265347
30,1623,154127,31,109231,265014
31,1591,153948,31,104864,260435
32,1598,154233,32,105057,260921
33,1584,154082,32,106112,261812
34,1594,153922,37,107181,262735
35,1577,153882,31,106138,261629
36,1645,154130,31,111923,267731
37,1605,154156,32,104927,260721
38,1650,154117,38,107795,263602
39,1568,153950,31,109086,264637
40,1635,153578,31,106836,262081
41,1580,153925,31,108913,264452
42,1585,153836,31,105108,260562
43,1568,153924,32,107182,262708
44,1585,153913,31,108960,264490
45,1559,153940,31,104816,260348
46,1561,153945,31,109335,264873
47,1589,153892,31,107307,262820
48,1576,153684,31,108822,264113
49,1571,153709,31,108153,263466
50,1571,154095,32,108713,264412
51,1592,154039,32,106909,262573
52,1597,153912,31,109024,264565
53,1584,153643,31,104820,260080
54,1562,154473,31,107896,263964
55,1559,153774,31,108536,263901
56,1563,154142,32,105024,260763
57,1625,154002,31,104514,260174
58,1581,154166,31,107116,262896
59,1572,154011,31,108665,264280
60,1567,154008,31,107285,262893
61,1559,153908,32,109134,264634
62,1572,154108,31,104433,260145
63,1562,154047,31,108839,264481
64,1580,153921,32,108976,264510
65,1594,153882,31,109322,264830
66,1604,153919,32,104737,260293
67,1568,154252,32,108343,264198
68,1563,154764,31,108912,265272
69,1629,153970,32,107655,263287
70,1592,154157,31,104947,260727
71,1584,153949,31,107690,263256
72,1568,154072,31,104227,259901
73,1571,153924,33,108349,263878
74,1640,153755,31,107730,263157
75,1586,153753,32,107636,263008
76,1581,154051,31,108575,264241
77,1613,153908,32,107978,263532
78,1582,153947,32,108722,264285
79,1610,153576,32,107015,262235
80,1572,153923,31,108330,263857
81,1590,154047,32,106522,262192
82,1583,154084,31,108397,264096
83,1570,153989,32,105447,261039
84,1585,153793,32,106541,261952
85,1646,153855,31,106591,262125
86,1596,153617,31,105281,260526
87,1564,154090,31,104500,260187
88,1572,153744,31,106773,262122
89,1638,153770,32,108980,264422
90,1575,153657,31,107560,262824
91,1569,153784,32,104682,260069
92,1580,153791,32,109142,264547
93,1567,153947,31,104941,260488
94,1591,153908,32,104789,260321
95,1617,154179,33,104724,260554
96,1597,154111,31,104695,260436
97,1560,153976,32,107338,262908
98,1613,154197,32,104711,260554
99,1577,153736,31,104127,259473
100,1589,153850,32,107985,263458

Average,1587,154005,31,107208,262834
